movie,director,actor,Duration,fbdirector_likes,fblikes_actor,genre,imdb_score,fblikes_movie,year,imdb_rating,country,year1,gross,budget,Duration.,duration
A Walk on the Moon,Tony Goldwyn,Viggo Mortensen,90-180min,956,10000,Drama,6.6,860,1999,7,USA,1999,$ 5M,$ 14M,107,1-2  hrs
Catch a Fire,Phillip Noyce,Derek Luke,90-180min,176,543,Biography,6.7,447,2006,7,Others,2006,$ 4M,$ 14M,98,1-2  hrs
Soul Survivors,Stephen Carpenter,Melissa Sagemiller,30-90min,12,159,Drama,3.9,231,2001,4,USA,2001,$ 3M,$ 14M,84,1-2  hrs
Jefferson in Paris,James Ivory,Seth Gilliam,90-180min,133,423,Biography,5.7,127,1995,6,Others,1995,$ 2M,$ 14M,139,2-3 hrs
Easy Virtue,Stephan Elliott,Colin Firth,90-180min,11,14000,Comedy,6.7,2000,2008,7,UK,2008,$ 3M,$ 0M,97,1-2  hrs
Caravans,James Fargo,Christopher Lee,90-180min,109,16000,Action,6.5,76,1978,7,Others,1978,$ 1M,$ 14M,127,2-3 hrs
Mr. Turner,Mike Leigh,Lesley Manville,90-180min,608,149,Biography,6.8,0,2014,7,UK,2014,$ 4M,$ 8.2M,150,2-3 hrs
Wild Grass,Alain Resnais,Mathieu Amalric,90-180min,752,412,Drama,6.3,512,2009,6,Others,2009,$ 0M,$ 0M,104,1-2  hrs
Amen.,Costa-Gavras,Sebastian Koch,90-180min,333,380,Biography,7.3,0,2002,7,Others,2002,$ 0M,$ 103M,132,2-3 hrs
Reign of Assassins,Chao-Bin Su,Woo-sung Jung,90-180min,2,149,Action,6.9,1000,2010,7,Others,2010,$ 0M,$ 12M,117,1-2  hrs
The Lucky Ones,Neil Burger,John Heard,90-180min,168,697,Comedy,7,702,2008,7,USA,2008,$ 0M,$ 15M,115,1-2  hrs
Margaret,Kenneth Lonergan,Matt Damon,long,50,13000,Drama,6.5,0,2011,7,USA,2011,$ 0M,$ 14M,186,>3 hrs
Stan Helsing,Bo Zenga,Steve Howey,90-180min,10,826,Comedy,3.6,934,2009,4,Others,2009,$ 0M,$ 0M,90,1-2  hrs
Flipped,Rob Reiner,Madeline Carroll,90-180min,0,1000,Comedy,7.7,14000,2010,8,USA,2010,$ 2M,$ 14M,90,1-2  hrs
Brokeback Mountain,Ang Lee,Jake Gyllenhaal,90-180min,0,15000,Drama,7.7,13000,2005,8,USA,2005,$ 83M,$ 14M,134,2-3 hrs
Teenage Mutant Ninja Turtles,Jonathan Liebesman,Noel Fisher,90-180min,473,833,Action,5.9,62000,2014,6,USA,2014,$ 191M,$ 125M,101,1-2  hrs
Clueless,Amy Heckerling,Donald Faison,90-180min,143,927,Comedy,6.8,0,1995,7,USA,1995,$ 57M,$ 12M,97,1-2  hrs
Far from Heaven,Todd Haynes,Dennis Quaid,90-180min,162,2000,Drama,7.4,0,2002,7,USA,2002,$ 16M,$ 13.5M,107,1-2  hrs
Hot Tub Time Machine 2,Steve Pink,Adam Scott,90-180min,38,3000,Comedy,5.1,0,2015,5,USA,2015,$ 12M,$ 14M,99,1-2  hrs
Quills,Philip Kaufman,Kate Winslet,90-180min,133,14000,Biography,7.4,0,2000,7,UK,2000,$ 7M,$ 13.5M,124,2-3 hrs
Seven Psychopaths,Martin McDonagh,Abbie Cornish,90-180min,454,2000,Comedy,7.2,52000,2012,7,UK,2012,$ 15M,$ 15M,110,1-2  hrs
The Caveman's Valentine,Kasi Lemmons,Colm Feore,90-180min,148,539,Crime,6,329,2001,6,USA,2001,$ 1M,$ 0M,105,1-2  hrs
Downfall,Oliver Hirschbiegel,Thomas Kretschmann,90-180min,101,918,Biography,8.3,14000,2004,8,Others,2004,$ 6M,$ 13.5M,178,2-3 hrs
The Sea Inside,Alejandro Amenêçbar,Belê©n Rueda,90-180min,448,273,Biography,8.1,0,2004,8,Others,2004,$ 2M,$ 10M,125,2-3 hrs
Under the Skin,Jonathan Glazer,Scarlett Johansson,90-180min,143,19000,Drama,6.3,29000,2013,6,UK,2013,$ 3M,$ 0M,108,1-2  hrs
"Good Morning, Vietnam",Barry Levinson,Robin Williams,90-180min,272,49000,Biography,7.3,0,1987,7,USA,1987,$ 124M,$ 13M,121,2-3 hrs
The Last Godfather,Hyung-rae Shim,Jason Mewes,90-180min,26,898,Comedy,3.6,502,2010,4,Others,2010,$ 0M,$ 13.4M,100,1-2  hrs
Justin Bieber: Never Say Never,Jon M. Chu,Usher Raymond,90-180min,209,569,Documentary,1.6,62000,2011,2,USA,2011,$ 73M,$ 13M,115,1-2  hrs
Black Swan,Darren Aronofsky,Natalie Portman,90-180min,0,20000,Drama,8,106000,2010,8,USA,2010,$ 107M,$ 13M,108,1-2  hrs
RoboCop,Josê© Padilha,Gary Oldman,90-180min,294,10000,Action,6.2,60000,2014,6,USA,2014,$ 59M,$ 100M,117,1-2  hrs
The Godfather: Part II,Francis Ford Coppola,Robert De Niro,long,0,22000,Crime,9,14000,1974,9,USA,1974,$ 57M,$ 13M,220,>3 hrs
Save the Last Dance,Thomas Carter,Sean Patrick Thomas,90-180min,49,656,Drama,6.1,0,2001,6,USA,2001,$ 91M,$ 13M,112,1-2  hrs
A Nightmare on Elm Street 4: The Dream Master,Renny Harlin,Tuesday Knight,90-180min,212,130,Fantasy,5.7,0,1988,6,USA,1988,$ 49M,$ 7M,99,1-2  hrs
Miracles from Heaven,Patricia Riggen,Jennifer Garner,90-180min,36,3000,Drama,6.8,16000,2016,7,USA,2016,$ 62M,$ 13M,109,1-2  hrs
"Dude, Where's My Car?",Danny Leiner,Jennifer Garner,30-90min,8,3000,Comedy,5.5,0,2000,6,USA,2000,$ 47M,$ 13M,83,1-2  hrs
Young Guns,Christopher Cain,Jack Palance,90-180min,58,549,Action,6.8,0,1988,7,USA,1988,$ 45M,$ 13M,107,1-2  hrs
St. Vincent,Theodore Melfi,Bill Murray,90-180min,51,13000,Comedy,7.3,33000,2014,7,USA,2014,$ 44M,$ 13M,102,1-2  hrs
About Last Night,Steve Pink,Joe Lo Truglio,90-180min,38,833,Comedy,6.1,0,2014,6,USA,2014,$ 49M,$ 12.5M,100,1-2  hrs
10 Things I Hate About You,Gil Junger,Joseph Gordon-Levitt,90-180min,19,23000,Comedy,7.2,10000,1999,7,USA,1999,$ 38M,$ 16M,97,1-2  hrs
The New Guy,Ed Decter,Zooey Deschanel,90-180min,13,11000,Comedy,5.9,1000,2002,6,USA,2002,$ 29M,$ 13M,92,1-2  hrs
Loaded Weapon 1,Gene Quintano,Jon Lovitz,30-90min,0,11000,Action,6.1,0,1993,6,USA,1993,$ 28M,$ 8.2M,84,1-2  hrs
The Shallows,Jaume Collet-Serra,ê_scar Jaenada,30-90min,174,619,Drama,6.8,0,2016,7,USA,2016,$ 54M,$ 17M,86,1-2  hrs
The Butterfly Effect,Eric Bress,Logan Lerman,90-180min,19,8000,Sci-Fi,7.7,15000,2004,8,USA,2004,$ 0M,$ 13M,120,1-2  hrs
Snow Day,Chris Koch,Chris Elliott,30-90min,13,571,Adventure,4.9,0,2000,5,USA,2000,$ 60M,$ 13M,89,1-2  hrs
This Christmas,Preston A. Whitmore II,Mekhi Phifer,90-180min,17,1000,Comedy,6.1,0,2007,6,USA,2007,$ 49M,$ 13M,117,1-2  hrs
Baby Geniuses,Bob Clark,Kathleen Turner,90-180min,84,899,Comedy,2.5,0,1999,3,USA,1999,$ 27M,$ 18M,97,1-2  hrs
The Big Hit,Kirk Wong,Bokeem Woodbine,90-180min,6,904,Action,6.1,934,1998,6,USA,1998,$ 27M,$ 13M,91,1-2  hrs
Harriet the Spy,Bronwen Hughes,Gregory Smith,90-180min,15,694,Comedy,5.9,833,1996,6,USA,1996,$ 27M,$ 13M,100,1-2  hrs
Child's Play 2,John Lafia,Jenny Agutter,30-90min,5,659,Fantasy,5.7,0,1990,6,USA,1990,$ 29M,$ 13M,72,1-2  hrs
No Good Deed,Sam Miller,Leslie Bibb,30-90min,12,1000,Crime,5.6,0,2014,6,USA,2014,$ 53M,$ 13.2M,84,1-2  hrs
The Mist,Frank Darabont,Toby Jones,90-180min,0,2000,Horror,7.2,20000,2007,7,USA,2007,$ 26M,$ 18M,126,2-3 hrs
Ex Machina,Alex Garland,Elina Alminas,90-180min,232,149,Drama,7.7,109000,2015,8,UK,2015,$ 25M,$ 15M,108,1-2  hrs
Being John Malkovich,Spike Jonze,Willie Garson,90-180min,0,512,Comedy,7.8,0,1999,8,USA,1999,$ 23M,$ 13M,112,1-2  hrs
Two Can Play That Game,Mark Brown,Mo'Nique,90-180min,7,939,Comedy,6.1,593,2001,6,USA,2001,$ 22M,$ 6M,90,1-2  hrs
Earth to Echo,Dave Green,Teo Halm,90-180min,13,803,Adventure,5.8,0,2014,6,USA,2014,$ 39M,$ 13M,91,1-2  hrs
Crazy/Beautiful,John Stockwell,Kirsten Dunst,90-180min,134,4000,Drama,6.5,0,2001,7,USA,2001,$ 17M,$ 14M,135,2-3 hrs
Letters from Iwo Jima,Clint Eastwood,Yuki Matsuzaki,90-180min,16000,378,Drama,7.9,5000,2006,8,USA,2006,$ 14M,$ 19M,141,2-3 hrs
The Astronaut Farmer,Michael Polish,J.K. Simmons,90-180min,35,24000,Adventure,6.3,862,2006,6,USA,2006,$ 11M,$ 13M,104,1-2  hrs
Woo,Daisy von Scherler Mayer,LL Cool J,30-90min,18,1000,Comedy,3.8,204,1998,4,USA,1998,$ 8M,$ 13M,84,1-2  hrs
Room,Lenny Abrahamson,Joan Allen,90-180min,412,805,Drama,8.3,72000,2015,8,Others,2015,$ 15M,$ 13M,118,1-2  hrs
Dirty Work,Bob Saget,Don Rickles,30-90min,799,721,Comedy,6.4,679,1998,6,Others,1998,$ 10M,$ 13M,82,1-2  hrs
Serial Mom,John Waters,Kathleen Turner,90-180min,0,899,Comedy,6.7,3000,1994,7,USA,1994,$ 8M,$ 13M,95,1-2  hrs
Dick,Andrew Fleming,Ryan Reynolds,90-180min,26,16000,Comedy,6.1,0,1999,6,Others,1999,$ 6M,$ 13M,94,1-2  hrs
Light It Up,Craig Bolotin,Rosario Dawson,90-180min,7,3000,Drama,6,251,1999,6,USA,1999,$ 6M,$ 13M,99,1-2  hrs
54,Mark Christopher,Salma Hayek,90-180min,15,4000,Drama,5.8,0,1998,6,USA,1998,#N/A,#N/A,147,2-3 hrs
Bubble Boy,Blair Hayes,Jake Gyllenhaal,30-90min,2,15000,Adventure,5.6,0,2001,6,USA,2001,$ 5M,$ 13M,84,1-2  hrs
Birthday Girl,Jez Butterworth,Mark Gatiss,90-180min,16,567,Comedy,6.1,618,2001,6,UK,2001,$ 5M,$ 13M,93,1-2  hrs
21 & Over,Jon Lucas,Justin Chon,90-180min,24,552,Comedy,5.9,11000,2013,6,USA,2013,$ 26M,$ 13M,93,1-2  hrs
"Paris, je t'aime",Olivier Assayas,Steve Buscemi,90-180min,107,12000,Comedy,7.3,0,2006,7,Others,2006,$ 5M,$ 13M,120,1-2  hrs
Resurrecting the Champ,Rod Lurie,Harry Lennix,90-180min,37,748,Drama,6.8,689,2007,7,USA,2007,$ 3M,$ 13M,112,1-2  hrs
Admission,Paul Weitz,Tina Fey,90-180min,80,2000,Comedy,5.7,5000,2013,6,USA,2013,$ 18M,$ 13M,107,1-2  hrs
The Widow of Saint-Pierre,Patrice Leconte,Emir Kusturica,90-180min,83,2000,Drama,7.3,186,2000,7,Others,2000,$ 3M,$ 100M,112,1-2  hrs
Chloe,Atom Egoyan,Liam Neeson,90-180min,460,14000,Drama,6.3,0,2009,6,USA,2009,$ 3M,$ 11M,96,1-2  hrs
Faithful,Paul Mazursky,Chazz Palminteri,90-180min,150,979,Comedy,5.9,69,1996,6,USA,1996,$ 2M,$ 13M,91,1-2  hrs
Brothers,Jim Sheridan,Natalie Portman,90-180min,260,20000,Drama,7.1,10000,2009,7,USA,2009,$ 29M,$ 26M,105,1-2  hrs
Find Me Guilty,Sidney Lumet,Peter Dinklage,90-180min,0,22000,Biography,7.1,0,2006,7,Others,2006,$ 1M,$ 13M,125,2-3 hrs
The Perks of Being a Wallflower,Stephen Chbosky,Logan Lerman,90-180min,139,8000,Drama,8,131000,2012,8,USA,2012,$ 18M,$ 13M,102,1-2  hrs
Excessive Force,Jon Hess,Burt Young,30-90min,29,683,Action,5.1,107,1993,5,USA,1993,$ 1M,$ 3M,87,1-2  hrs
Infamous,Douglas McGrath,Toby Jones,90-180min,41,2000,Biography,7.1,0,2006,7,USA,2006,$ 1M,$ 13M,118,1-2  hrs
The Claim,Michael Winterbottom,Milla Jovovich,90-180min,187,14000,Drama,6.5,141,2000,7,UK,2000,$ 0M,$ 20M,115,1-2  hrs
The Vatican Tapes,Mark Neveldine,Djimon Hounsou,90-180min,83,3000,Horror,4.5,0,2015,5,USA,2015,$ 2M,$ 8.495M,91,1-2  hrs
Attack the Block,Joe Cornish,John Boyega,30-90min,115,1000,Action,6.6,18000,2011,7,UK,2011,$ 1M,$ 13M,88,1-2  hrs
In the Land of Blood and Honey,Angelina Jolie Pitt,Jelena Jovanova,90-180min,11000,306,Drama,4.3,0,2011,4,USA,2011,$ 0M,$ 13M,127,2-3 hrs
The Call,Brad Anderson,Michael Imperioli,90-180min,122,873,Crime,6.7,23000,2013,7,USA,2013,$ 52M,$ 13M,94,1-2  hrs
Operation Chromite,John H. Lee,Liam Neeson,90-180min,32,14000,Action,6.8,139,2016,7,Others,2016,$ 0M,$ 12.62M,115,1-2  hrs
The Crocodile Hunter: Collision Course,John Stainton,Steve Irwin,90-180min,0,477,Action,5.4,332,2002,5,Others,2002,$ 28M,$ 13M,90,1-2  hrs
I Love You Phillip Morris,Glenn Ficarra,Dameon Clarke,90-180min,43,170,Biography,6.6,11000,2009,7,Others,2009,$ 2M,$ 13M,102,1-2  hrs
Quest for Fire,Jean-Jacques Annaud,Rae Dawn Chong,90-180min,218,581,Adventure,7.4,0,1981,7,Others,1981,$ 0M,$ 12.5M,100,1-2  hrs
Antwone Fisher,Denzel Washington,Denzel Washington,90-180min,18000,18000,Biography,7.3,0,2002,7,USA,2002,$ 21M,$ 12.5M,117,1-2  hrs
The Emperor's Club,Michael Hoffman,Gabriel Millman,90-180min,97,13000,Drama,6.9,0,2002,7,USA,2002,$ 14M,$ 12.5M,109,1-2  hrs
True Romance,Tony Scott,Brad Pitt,90-180min,12000,11000,Action,8,15000,1993,8,USA,1993,$ 12M,$ 13M,121,2-3 hrs
Womb,Benedek Fliegauf,Eva Green,90-180min,28,6000,Drama,6.4,0,2010,6,Others,2010,$ 0M,$ 3.66M,111,1-2  hrs
Glengarry Glen Ross,James Foley,Kevin Spacey,90-180min,164,18000,Crime,7.8,0,1992,8,USA,1992,$ 11M,$ 12.5M,100,1-2  hrs
The Killer Inside Me,Michael Winterbottom,Liam Aiken,90-180min,187,818,Crime,6.1,0,2010,6,USA,2010,$ 0M,$ 13M,109,1-2  hrs
Cat People,Paul Schrader,Ed Begley Jr.,90-180min,261,783,Fantasy,6.1,0,1982,6,USA,1982,$ 0M,$ 18M,93,1-2  hrs
Sorority Row,Stewart Hendler,Julian Morris,90-180min,10,1000,Horror,5.1,0,2009,5,USA,2009,$ 12M,$ 16M,101,1-2  hrs
The Prisoner of Zenda,John Cromwell,David Niven,90-180min,19,490,Adventure,7.8,337,1937,8,USA,1937,$ 0M,$ 0M,101,1-2  hrs
Lars and the Real Girl,Craig Gillespie,Ryan Gosling,90-180min,44,33000,Comedy,7.4,19000,2007,7,USA,2007,$ 6M,$ 12M,106,1-2  hrs
The Boy in the Striped Pajamas,Mark Herman,Richard Johnson,90-180min,39,77,Drama,7.8,38000,2008,8,UK,2008,$ 9M,$ 12.5M,94,1-2  hrs
Dancer in the Dark,Lars von Trier,Catherine Deneuve,90-180min,3000,963,Crime,8,0,2000,8,Others,2000,$ 4M,$ 12.8M,140,2-3 hrs
Oscar and Lucinda,Gillian Armstrong,Tom Wilkinson,90-180min,44,1000,Drama,6.7,329,1997,7,USA,1997,$ 2M,$ 16M,132,2-3 hrs
The Funeral,Abel Ferrara,Isabella Rossellini,90-180min,220,812,Crime,6.6,344,1996,7,USA,1996,$ 1M,$ 12.5M,99,1-2  hrs
Solitary Man,Brian Koppelman,Jenna Fischer,90-180min,34,966,Comedy,6.4,0,2009,6,USA,2009,$ 4M,$ 15M,90,1-2  hrs
Machete,Ethan Maniquis,Robert De Niro,90-180min,20,22000,Action,6.7,44000,2010,7,USA,2010,$ 27M,$ 10.5M,105,1-2  hrs
Casino Jack,George Hickenlooper,Kevin Spacey,90-180min,60,18000,Biography,6.2,0,2010,6,Others,2010,$ 1M,$ 15M,108,1-2  hrs
The Land Before Time,Don Bluth,Judith Barsi,30-90min,383,912,Adventure,7.3,5000,1988,7,USA,1988,$ 48M,$ 12.5M,69,1-2  hrs
Tae Guk Gi: The Brotherhood of War,Je-kyu Kang,Min-sik Choi,90-180min,16,717,Action,8.1,0,2004,8,Others,2004,$ 1M,$ 12.8M,148,2-3 hrs
The Perfect Game,William Dear,Clifton Collins Jr.,90-180min,50,968,Comedy,7,0,2009,7,Others,2009,$ 1M,$ 12.5M,118,1-2  hrs
The Exorcist,William Friedkin,Ellen Burstyn,90-180min,607,1000,Horror,8,18000,1973,8,USA,1973,$ 205M,$ 8M,132,2-3 hrs
Jaws,Steven Spielberg,Roy Scheider,90-180min,14000,813,Adventure,8,21000,1975,8,USA,1975,$ 260M,$ 8M,130,2-3 hrs
American Pie,Paul Weitz,Alyson Hannigan,90-180min,80,3000,Comedy,7,0,1999,7,USA,1999,$ 102M,$ 11M,95,1-2  hrs
Ernest & Celestine,Stê©phane Aubier,Mackenzie Foy,30-90min,2,6000,Animation,7.9,0,2012,8,Others,2012,$ 0M,$ 9.6M,80,1-2  hrs
The Golden Child,Michael Ritchie,Victor Wong,90-180min,23,400,Action,5.9,0,1986,6,USA,1986,$ 80M,$ 25M,94,1-2  hrs
Think Like a Man,Tim Story,Chris Brown,90-180min,167,997,Comedy,6.6,0,2012,7,USA,2012,$ 92M,$ 12M,122,2-3 hrs
Barbershop,Tim Story,Sean Patrick Thomas,90-180min,167,656,Comedy,6.3,770,2002,6,USA,2002,$ 75M,$ 12M,102,1-2  hrs
Star Trek II: The Wrath of Khan,Nicholas Meyer,Leonard Nimoy,90-180min,120,12000,Action,7.7,0,1982,8,USA,1982,$ 79M,$ 11M,116,1-2  hrs
Ace Ventura: Pet Detective,Tom Shadyac,Sean Young,30-90min,293,759,Comedy,6.9,0,1994,7,USA,1994,$ 72M,$ 12M,78,1-2  hrs
WarGames,John Badham,Matthew Broderick,90-180min,139,2000,Sci-Fi,7.1,0,1983,7,USA,1983,$ 80M,$ 12M,114,1-2  hrs
Witness,Peter Weir,Harrison Ford,90-180min,608,11000,Crime,7.4,0,1985,7,USA,1985,$ 66M,$ 12M,112,1-2  hrs
Act of Valor,Mike McCoy,Alex Veadov,90-180min,16,93,Action,6.5,15000,2012,7,USA,2012,$ 70M,$ 12M,110,1-2  hrs
Step Up,Anne Fletcher,Channing Tatum,90-180min,98,17000,Crime,6.5,0,2006,7,USA,2006,$ 65M,$ 12M,104,1-2  hrs
Beavis and Butt-Head Do America,Mike Judge,Bruce Willis,30-90min,406,13000,Adventure,6.8,0,1996,7,USA,1996,$ 63M,$ 12M,81,1-2  hrs
Jackie Brown,Quentin Tarantino,Robert De Niro,90-180min,16000,22000,Crime,7.5,0,1997,8,USA,1997,$ 40M,$ 12M,154,2-3 hrs
Harold & Kumar Escape from Guantanamo Bay,Jon Hurwitz,Danneel Ackles,90-180min,22,1000,Adventure,6.6,0,2008,7,USA,2008,$ 38M,$ 12M,102,1-2  hrs
Chronicle,Josh Trank,Michael Kelly,30-90min,128,963,Drama,7.1,32000,2012,7,USA,2012,$ 65M,$ 12M,89,1-2  hrs
Yentl,Barbra Streisand,Miriam Margolyes,90-180min,0,405,Drama,6.6,0,1983,7,UK,1983,$ 30M,$ 12M,132,2-3 hrs
Time Bandits,Terry Gilliam,Shelley Duvall,90-180min,0,629,Adventure,7,0,1981,7,UK,1981,$ 42M,$ 5M,103,1-2  hrs
Crossroads,Tamra Davis,Britney Spears,90-180min,33,1000,Comedy,3.3,0,2002,3,USA,2002,$ 37M,$ 12M,93,1-2  hrs
Project X,Nima Nourizadeh,Dax Flame,90-180min,166,971,Comedy,6.7,29000,2012,7,USA,2012,$ 55M,$ 12M,93,1-2  hrs
Patton,Franklin J. Schaffner,George C. Scott,90-180min,76,654,Biography,8,0,1970,8,USA,1970,$ 0M,$ 12M,172,2-3 hrs
One Hour Photo,Mark Romanek,Robin Williams,90-180min,132,49000,Drama,6.8,0,2002,7,USA,2002,$ 32M,$ 12M,96,1-2  hrs
Quarantine,John Erick Dowdle,Andrew Fiscella,30-90min,66,137000,Horror,6,0,2008,6,USA,2008,$ 32M,$ 12M,89,1-2  hrs
The Eye,David Moreau,Chloê_ Grace Moretz,90-180min,0,17000,Horror,5.4,0,2008,5,USA,2008,$ 31M,$ 12M,92,1-2  hrs
Johnson Family Vacation,Christopher Erskin,Vanessa Williams,90-180min,4,1000,Comedy,4.3,243,2004,4,USA,2004,$ 31M,$ 12M,97,1-2  hrs
How High,Jesse Dylan,Hector Elizondo,90-180min,58,995,Comedy,6.2,0,2001,6,USA,2001,$ 31M,$ 12M,93,1-2  hrs
The Muppet Christmas Carol,Brian Henson,Steven Mackintosh,30-90min,53,227,Comedy,7.7,0,1992,8,USA,1992,$ 27M,$ 12M,89,1-2  hrs
Casino Royale,Martin Campbell,Eva Green,90-180min,258,6000,Action,8,0,2006,8,UK,2006,$ 167M,$ 150M,144,2-3 hrs
Frida,Julie Taymor,Salma Hayek,90-180min,278,4000,Biography,7.4,0,2002,7,USA,2002,$ 26M,$ 12M,123,2-3 hrs
Katy Perry: Part of Me,Dan Cutforth,Lexie Contursi,90-180min,4,28,Documentary,5.9,0,2012,6,USA,2012,$ 25M,$ 12M,93,1-2  hrs
The Fault in Our Stars,Josh Boone,Shailene Woodley,90-180min,131,8000,Drama,7.8,93000,2014,8,USA,2014,$ 125M,$ 12M,133,2-3 hrs
Rounders,John Dahl,Matt Damon,90-180min,131,13000,Crime,7.4,0,1998,7,USA,1998,$ 23M,$ 12M,121,2-3 hrs
Top Five,Chris Rock,Rosario Dawson,90-180min,0,3000,Comedy,6.5,0,2014,7,USA,2014,$ 25M,$ 12M,102,1-2  hrs
Prophecy,John Frankenheimer,Talia Shire,90-180min,287,452,Horror,5.4,902,1979,5,USA,1979,$ 0M,$ 12M,102,1-2  hrs
Stir of Echoes,David Koepp,Illeana Douglas,90-180min,192,347,Horror,7,0,1999,7,USA,1999,$ 21M,$ 12M,99,1-2  hrs
Philomena,Stephen Frears,Steve Coogan,90-180min,350,1000,Biography,7.6,37000,2013,8,UK,2013,$ 38M,$ 12M,98,1-2  hrs
The Upside of Anger,Mike Binder,Alicia Witt,90-180min,57,975,Comedy,6.9,549,2005,7,USA,2005,$ 19M,$ 9M,118,1-2  hrs
The Boys from Brazil,Franklin J. Schaffner,Laurence Olivier,90-180min,76,1000,Drama,7,0,1978,7,UK,1978,$ 0M,$ 12M,125,2-3 hrs
Aquamarine,Elizabeth Allen Rosenbaum,Tammin Sursok,90-180min,20,836,Comedy,5.3,0,2006,5,USA,2006,$ 19M,$ 12M,104,1-2  hrs
Paper Towns,Jake Schreier,Nat Wolff,90-180min,14,733,Drama,6.4,0,2015,6,USA,2015,$ 32M,$ 12M,109,1-2  hrs
My Baby's Daddy,Cheryl Dunye,Michael Imperioli,30-90min,17,873,Comedy,4.5,151,2004,5,USA,2004,$ 17M,$ 0M,86,1-2  hrs
Nebraska,Alexander Payne,Devin Ratray,90-180min,729,1000,Adventure,7.8,28000,2013,8,USA,2013,$ 18M,$ 12M,115,1-2  hrs
Tales from the Crypt: Demon Knight,Ernest R. Dickerson,CCH Pounder,90-180min,226,1000,Action,6.7,0,1995,7,USA,1995,$ 21M,$ 13M,92,1-2  hrs
Max Keeble's Big Move,Tim Hill,Noel Fisher,90-180min,25,833,Comedy,5.3,371,2001,5,USA,2001,$ 17M,$ 12M,91,1-2  hrs
Young Adult,Jason Reitman,Charlize Theron,90-180min,655,9000,Comedy,6.3,0,2011,6,USA,2011,$ 16M,$ 12M,94,1-2  hrs
Crank,Mark Neveldine,Jason Statham,90-180min,83,26000,Action,7,0,2006,7,USA,2006,$ 28M,$ 12M,93,1-2  hrs
How to Be a Player,Lionel C. Martin,Bernie Mac,90-180min,3,1000,Comedy,5.3,439,1997,5,USA,1997,$ 14M,$ 0M,93,1-2  hrs
Living Out Loud,Richard LaGravenese,Holly Hunter,90-180min,98,1000,Comedy,6.6,242,1998,7,USA,1998,$ 13M,$ 12M,100,1-2  hrs
Just Wright,Sanaa Hamri,Common,90-180min,43,988,Comedy,5.8,0,2010,6,USA,2010,$ 22M,$ 0M,100,1-2  hrs
Rachel Getting Married,Jonathan Demme,Anne Hathaway,90-180min,438,11000,Drama,6.7,0,2008,7,USA,2008,$ 13M,$ 0M,113,1-2  hrs
The Postman Always Rings Twice,Bob Rafelson,Anjelica Huston,90-180min,30,1000,Crime,6.6,1000,1981,7,USA,1981,$ 0M,$ 12M,122,2-3 hrs
Girl with a Pearl Earring,Peter Webber,Scarlett Johansson,90-180min,73,19000,Biography,7,0,2003,7,UK,2003,$ 12M,$ 0M,100,1-2  hrs
Das Boot,Wolfgang Petersen,Jê_rgen Prochnow,long,249,362,Adventure,8.4,11000,1981,8,Others,1981,$ 11M,$ 14M,293,>3 hrs
The Alamo,John Lee Hancock,Dennis Quaid,90-180min,102,2000,Drama,6,701,2004,6,USA,2004,$ 22M,$ 107M,137,2-3 hrs
Sorority Boys,Wallace Wolodarsky,Heather Matarazzo,90-180min,32,529,Comedy,5.4,507,2002,5,USA,2002,$ 10M,$ 12M,93,1-2  hrs
About Time,Richard Curtis,Tom Hughes,90-180min,628,565,Drama,7.8,105000,2013,8,UK,2013,$ 15M,$ 12M,123,2-3 hrs
House of Flying Daggers,Yimou Zhang,Takeshi Kaneshiro,90-180min,611,755,Action,7.6,0,2004,8,Others,2004,$ 11M,$ 100M,119,1-2  hrs
Arbitrage,Nicholas Jarecki,Nate Parker,90-180min,27,664,Drama,6.6,0,2012,7,USA,2012,$ 8M,$ 12M,107,1-2  hrs
Project Almanac,Dean Israelite,Gary Weeks,90-180min,16,452,Sci-Fi,6.4,0,2015,6,USA,2015,$ 22M,$ 12M,106,1-2  hrs
Cadillac Records,Darnell Martin,Cedric the Entertainer,90-180min,67,436,Biography,7,0,2008,7,USA,2008,$ 8M,$ 12M,109,1-2  hrs
Screwed,Scott Alexander,Sarah Silverman,30-90min,25,931,Comedy,5.7,262,2000,6,USA,2000,$ 7M,$ 10M,81,1-2  hrs
Fortress,Stuart Gordon,Christopher Lambert,90-180min,216,1000,Action,5.9,1000,1992,6,Others,1992,$ 7M,$ 8M,95,1-2  hrs
For Your Consideration,Christopher Guest,John Michael Higgins,30-90min,378,957,Comedy,6.3,650,2006,6,USA,2006,$ 6M,$ 12M,86,1-2  hrs
Celebrity,Woody Allen,Melanie Griffith,90-180min,11000,537,Comedy,6.3,652,1998,6,USA,1998,$ 5M,$ 12M,113,1-2  hrs
Running with Scissors,Ryan Murphy,Jill Clayburgh,90-180min,708,433,Comedy,6.2,0,2006,6,USA,2006,$ 7M,$ 12M,122,2-3 hrs
From Justin to Kelly,Robert Iscove,Anika Noni Rose,90-180min,7,525,Comedy,2.1,0,2003,2,USA,2003,$ 5M,$ 12M,90,1-2  hrs
Girl 6,Spike Lee,Michael Imperioli,90-180min,0,873,Comedy,5,251,1996,5,USA,1996,$ 5M,$ 12M,108,1-2  hrs
In the Cut,Jane Campion,Jennifer Jason Leigh,90-180min,319,1000,Mystery,5.3,656,2003,5,Others,2003,$ 5M,$ 12M,113,1-2  hrs
